Date,Open,High,Low,Close
06/29/2020,"0.0023","0.0023","0.0023","0.0023"
06/28/2020,"0.0023","0.0023","0.0023","0.0023"
06/27/2020,"0.0023","0.0024","0.0023","0.0023"
06/26/2020,"0.0024","0.0024","0.0023","0.0023"
06/25/2020,"0.0024","0.0025","0.0024","0.0024"
06/24/2020,"0.0025","0.0025","0.0024","0.0024"
06/23/2020,"0.0025","0.0025","0.0024","0.0025"
06/22/2020,"0.0024","0.0025","0.0024","0.0025"
06/21/2020,"0.0025","0.0025","0.0024","0.0024"
06/20/2020,"0.0024","0.0025","0.0024","0.0024"
06/19/2020,"0.0025","0.0025","0.0024","0.0024"
06/18/2020,"0.0025","0.0025","0.0024","0.0024"
06/17/2020,"0.0025","0.0025","0.0024","0.0025"
06/16/2020,"0.0025","0.0025","0.0024","0.0025"
06/15/2020,"0.0025","0.0025","0.0024","0.0025"
06/14/2020,"0.0025","0.0025","0.0025","0.0025"
06/13/2020,"0.0025","0.0026","0.0025","0.0025"
06/12/2020,"0.0025","0.0025","0.0025","0.0025"
06/11/2020,"0.0026","0.0026","0.0024","0.0024"
06/10/2020,"0.0026","0.0026","0.0025","0.0026"
06/09/2020,"0.0025","0.0026","0.0025","0.0026"
06/08/2020,"0.0026","0.0026","0.0026","0.0026"
06/07/2020,"0.0026","0.0026","0.0026","0.0026"
06/06/2020,"0.0026","0.0026","0.0026","0.0026"
06/05/2020,"0.0026","0.0026","0.0025","0.0026"
06/04/2020,"0.0026","0.0027","0.0025","0.0027"
06/03/2020,"0.0026","0.0026","0.0025","0.0026"
06/02/2020,"0.0026","0.0027","0.0025","0.0026"
06/01/2020,"0.0026","0.0027","0.0025","0.0027"
05/31/2020,"0.0026","0.0026","0.0025","0.0025"
05/30/2020,"0.0025","0.0026","0.0025","0.0026"
05/29/2020,"0.0025","0.0025","0.0025","0.0025"
05/28/2020,"0.0025","0.0026","0.0025","0.0025"
05/27/2020,"0.0025","0.0025","0.0025","0.0025"
05/26/2020,"0.0025","0.0026","0.0025","0.0025"
05/25/2020,"0.0024","0.0025","0.0024","0.0025"
05/24/2020,"0.0026","0.0026","0.0025","0.0025"
05/23/2020,"0.0025","0.0026","0.0025","0.0026"
05/22/2020,"0.0025","0.0025","0.0023","0.0025"
05/21/2020,"0.0025","0.0025","0.0024","0.0025"
05/20/2020,"0.0025","0.0026","0.0025","0.0025"
05/19/2020,"0.0025","0.0026","0.0025","0.0026"
05/18/2020,"0.0026","0.0026","0.0025","0.0025"
05/17/2020,"0.0025","0.0025","0.0025","0.0025"
05/16/2020,"0.0025","0.0025","0.0025","0.0025"
05/15/2020,"0.0025","0.0026","0.0025","0.0025"
05/14/2020,"0.0025","0.0026","0.0025","0.0026"
05/13/2020,"0.0025","0.0026","0.0025","0.0025"
05/12/2020,"0.0025","0.0025","0.0024","0.0025"
05/11/2020,"0.0025","0.0025","0.0023","0.0024"
05/10/2020,"0.0026","0.0026","0.0020","0.0025"
05/09/2020,"0.0026","0.0026","0.0026","0.0026"
05/08/2020,"0.0027","0.0027","0.0026","0.0026"
05/07/2020,"0.0024","0.0028","0.0024","0.0026"
05/06/2020,"0.0025","0.0026","0.0025","0.0026"
05/05/2020,"0.0025","0.0025","0.0024","0.0025"
05/04/2020,"0.0025","0.0025","0.0024","0.0025"
05/03/2020,"0.0026","0.0026","0.0025","0.0026"
05/02/2020,"0.0025","0.0026","0.0024","0.0025"
05/01/2020,"0.0025","0.0025","0.0025","0.0025"
04/30/2020,"0.0025","0.0027","0.0022","0.0023"
04/29/2020,"0.0023","0.0026","0.0023","0.0024"
04/28/2020,"0.0023","0.0024","0.0023","0.0023"
