,open,high,low,subjectivity,polarity,compound,negative,neutral,positive
371,181.48712448979592,181.92929128571427,181.20358514285715,0.0,0.0,0.0,0.0,1.0,0.0
372,183.4710373469388,183.97023153061224,183.0872817755102,0.0,0.0,0.9638,0.0,0.903,0.097
373,181.69982567346935,182.05320724489795,181.02133687755105,0.0,0.0,0.0,0.0,1.0,0.0
374,175.8906623877551,176.38404081632652,175.22790026530612,0.0,0.0,0.8877,0.0,0.951,0.049
375,175.64969965306122,176.14557446938775,175.1838864489796,1.0,-0.25,0.977,0.0,0.887,0.113
376,153.81358959183677,154.8222059387755,151.9682469591837,1.0,-0.25,0.7184,0.0,0.96,0.04
377,150.29841263265303,151.187787,149.58104575510202,1.0,-0.25,0.8757,0.0,0.924,0.076
378,147.8775617755102,148.3980798367347,146.85540208163266,0.0,0.0,0.0,0.0,1.0,0.0
379,142.56660013333334,144.06106582222222,141.31071862222225,0.0,0.0,0.9359,0.0,0.937,0.063
380,146.41641453061223,147.19295430612246,145.73503822448978,1.0,-0.25,0.7739,0.0,0.948,0.052
381,152.32406620408162,152.89966502040815,151.68716581632654,1.0,-0.25,0.9849,0.0,0.885,0.115
382,152.9099266734694,153.27145508163264,152.32786412244897,0.0,0.0,0.0,0.0,1.0,0.0
383,148.1332294489796,148.48306989795918,147.72391179591835,0.0,0.0,0.9776,0.0,0.877,0.123
384,146.48568124489796,147.0438942244898,145.8881813265306,1.0,-0.25,0.7739,0.0,0.926,0.074
385,146.5548263877551,147.1305182857143,146.18059338775512,0.0,0.0,0.9001,0.0,0.948,0.052
386,147.50380579591837,147.860826877551,147.15972493877553,1.0,-0.25,0.9835,0.0,0.788,0.212
387,148.06974695918368,148.30101455102042,147.81315859183673,0.0,0.0,0.0,0.0,1.0,0.0
388,148.60864659183673,149.00638630612244,148.35945589795918,0.0,0.0,0.0,0.0,1.0,0.0
389,149.11417134693878,149.40701918367347,148.70410955102042,1.0,-0.25,0.9517,0.0,0.931,0.069
390,146.46856846938775,146.69315240816326,146.09832569387754,1.0,-0.25,0.9906,0.0,0.856,0.144
391,144.69225812244898,144.92488175510204,144.35500742857144,1.0,-0.25,0.8636,0.0,0.933,0.067
392,143.38419718367348,143.81921730612245,142.9572853265306,0.0,0.0,0.0,0.0,1.0,0.0
393,144.51848336734693,144.75096124489795,144.2429902244898,0.0,0.0,0.9325,0.0,0.939,0.061
394,142.1943875510204,142.5117419183673,141.84238685714286,1.0,-0.25,0.9141,0.0,0.913,0.087
395,139.42815359183675,139.69152763265305,138.5452380612245,1.0,-0.25,0.9141,0.0,0.907,0.093
396,129.243207877551,129.5955415510204,128.2690832857143,0.0,0.0,0.0,0.0,1.0,0.0
397,124.97136402040816,126.18375846938775,124.21755224489796,1.0,-0.25,0.4588,0.0,0.976,0.024
398,127.79985265306124,128.29042128571427,127.05146253061224,0.0,0.0,0.0,0.0,1.0,0.0
399,127.25889720408163,127.47362569387757,127.01351206122447,1.0,-0.25,0.9435,0.0,0.844,0.156
400,129.15506385714286,129.68163334693878,128.93527530612243,0.0,0.0,0.4588,0.0,0.943,0.057
401,131.74014269387754,132.20350510204082,131.07727995918367,0.0,0.0,0.0,0.0,1.0,0.0
402,125.38813259183674,125.63792851020408,124.87541816326532,0.0,0.0,0.7184,0.0,0.909,0.091
403,127.69985740816328,128.10016659183674,127.38223869387755,0.0,0.0,0.0,0.0,1.0,0.0
404,133.14217395918368,133.5519868367347,132.6564400612245,1.0,-0.25,0.8706,0.022,0.905,0.073
405,130.90535253061225,131.26821797959184,130.45486034693877,1.0,-0.25,0.9671,0.0,0.913,0.087
406,130.97491144897958,131.34949710204083,130.66955689795918,1.0,-0.25,0.4588,0.0,0.976,0.024
407,130.91451557142855,131.64293910204083,130.48734736734693,1.0,-0.25,0.4588,0.0,0.981,0.019
408,133.64527587755103,133.99352487755104,133.32388893877553,0.0,0.0,0.9776,0.0,0.9,0.1
409,136.00902240816325,136.47714697959185,135.65501273469386,0.0,0.0,0.9808,0.0,0.891,0.109
410,140.13766412244897,140.94812624489796,139.75264563265304,1.0,-0.25,0.993,0.0,0.808,0.192
411,142.73371420408162,143.1804442857143,142.12854848979592,0.0,0.0,0.4588,0.0,0.925,0.075
412,142.48485353061224,143.11485720408163,141.70547355102042,0.0,0.0,0.0,0.0,1.0,0.0
413,138.55889340816327,138.97334657142858,137.98013069387756,1.0,-0.25,0.9517,0.0,0.924,0.076
414,139.18014369387754,139.8870883265306,138.63939593877552,0.0,0.0,0.0,0.0,1.0,0.0
