,open,high,low,subjectivity,polarity,compound,negative,neutral,positive,timestamp
1334,3814.6,3883.7,3783.3,1,1,1,1,1,1,2019-02-28
1335,3816.7,3855.8,3816.4,1,1,1,1,1,1,2019-03-01
1336,3821.9,3843.2,3783.6,1,1,1,1,1,1,2019-03-02
1337,3823.2,3836.6,3789.7,1,1,1,1,1,1,2019-03-03
1338,3809.7,3828.4,3681.8,1,1,1,1,1,1,2019-03-04
1339,3715.9,3873.2,3705.7,1,1,1,1,1,1,2019-03-05
1340,3857.2,3887.3,3816.7,1,1,1,1,1,1,2019-03-06
1341,3863.1,3907.4,3847.9,1,1,1,1,1,1,2019-03-07
1342,3875.1,3929.0,3810.7,1,1,1,1,1,1,2019-03-08
1343,3865.6,3964.0,3859.7,1,1,1,1,1,1,2019-03-09
1344,3944.4,3944.5,3889.2,1,1,1,1,1,1,2019-03-10
1345,3915.2,3935.5,3842.4,1,1,1,1,1,1,2019-03-11
1346,3870.3,3900.1,3817.1,1,1,1,1,1,1,2019-03-12
1347,3885.9,3894.7,3847.4,1,1,1,1,1,1,2019-03-13
1348,3865.1,3914.7,3828.4,1,1,1,1,1,1,2019-03-14
1349,3879.0,3935.7,3874.8,1,1,1,1,1,1,2019-03-15
1350,3924.4,4050.6,3923.7,1,1,1,1,1,1,2019-03-16
1351,4006.4,4009.8,3956.3,1,1,1,1,1,1,2019-03-17
1352,3981.5,4032.3,3958.5,1,1,1,1,1,1,2019-03-18
1353,3990.2,4029.9,3972.4,1,1,1,1,1,1,2019-03-19
1354,4017.0,4050.0,3985.3,1,1,1,1,1,1,2019-03-20
1355,4041.2,4064.0,3923.8,1,1,1,1,1,1,2019-03-21
1356,3982.2,4005.7,3971.8,1,1,1,1,1,1,2019-03-22
1357,3990.4,4018.2,3980.8,1,1,1,1,1,1,2019-03-23
1358,4002.6,4005.7,3967.0,1,1,1,1,1,1,2019-03-24
1359,3994.8,4000.5,3897.9,1,1,1,1,1,1,2019-03-25
1360,3937.1,3950.7,3899.9,1,1,1,1,1,1,2019-03-26
1361,3942.8,4043.3,3936.2,1,1,1,1,1,1,2019-03-27
1362,4041.7,4041.7,4008.4,1,1,1,1,1,1,2019-03-28
1363,4025.7,4123.1,4022.6,1,1,1,1,1,1,2019-03-29
1364,4103.7,4138.1,4057.1,1,1,1,1,1,1,2019-03-30
1365,4111.8,4121.9,4082.2,1,1,1,1,1,1,2019-03-31
1366,4102.3,4159.1,4076.8,1,1,1,1,1,1,2019-04-01
1367,4145.1,4899.6,4143.5,1,1,1,1,1,1,2019-04-02
